customer_id,age,gender,city,job_role,employment_type,income,credit_score,savings_rate,existing_loan_balance,account_balance,joined_date
1,23,Female,North Elizabeth,Product Manager,Freelance,1798410,632,0.19,216095,1052,2020-10-03
2,34,Non-binary,Smithton,Software Engineer,Salaried,925436,850,0.48,760175,1052,2025-09-27
3,31,Male,Jasonchester,Consultant,Contract,543102,850,0.6,916999,475326,2022-03-30
4,36,Male,Port Donna,Data Scientist,Freelance,1727194,850,0.15,4250,184855,2025-10-01
5,40,Female,Port Joshua,Software Engineer,Freelance,614984,850,0.14,459588,287063,2020-10-03
6,39,Female,New Lisaberg,Data Scientist,Freelance,818244,433,0.42,532731,499921,2022-07-21
7,40,Female,New Crystal,Sales,Salaried,1576687,742,0.42,0,144389,2022-01-22
8,23,Male,West Jacob,Sales,Contract,816642,740,0.32,3508,388914,2021-11-18
9,34,Female,Angelaside,Product Manager,Contract,525904,643,0.3,620110,78628,2025-03-19
10,24,Female,West Brianna,Data Scientist,Freelance,1667408,610,0.0,605773,283769,2020-12-29
11,40,Male,Christinaberg,Product Manager,Freelance,1536230,718,0.39,17331,477436,2025-08-02
12,29,Female,Cunninghamhaven,Sales,Salaried,666028,456,0.39,9155,367077,2023-08-22
13,23,Male,Barryport,Banker,Contract,1144621,850,0.28,457314,157826,2020-10-03
14,24,Female,Greenetown,Designer,Freelance,1998831,843,0.51,310624,173227,2023-12-26
15,40,Female,Christinaville,Sales,Freelance,1579918,650,0.53,0,91633,2024-11-22
16,32,Female,Williamfurt,Consultant,Salaried,351308,850,0.26,1741,452439,2022-02-16
17,40,Female,Kimberlyville,Banker,Freelance,432197,685,0.2,11635,357797,2021-02-23
18,33,Male,East Saraport,Sales,Contract,1644141,464,0.6,38031,349049,2025-04-30
19,40,Female,South Robertland,Sales,Salaried,1420005,500,0.14,0,499921,2024-06-06
20,29,Female,Salasland,Product Manager,Contract,1515939,717,0.36,33744,330033,2024-02-06
21,40,Non-binary,New Andrewside,Product Manager,Contract,775724,628,0.55,882390,136364,2021-05-28
22,40,Female,Lake Mark,Designer,Salaried,829058,778,0.48,0,499921,2022-06-06
23,39,Male,South Carrieport,Sales,Contract,1056106,739,0.3,134287,499921,2022-09-25
24,32,Non-binary,Anthonyport,Software Engineer,Freelance,300534,850,0.53,0,349697,2022-09-13
25,38,Non-binary,Davidstad,Software Engineer,Salaried,1998831,578,0.19,258854,441849,2024-11-19
26,36,Male,Port Brian,Product Manager,Contract,877794,850,0.59,0,35653,2022-12-16
27,26,Non-binary,New David,Product Manager,Contract,436879,597,0.48,0,499921,2022-01-19
28,36,Female,Omarhaven,Designer,Freelance,1056433,638,0.38,30354,499921,2021-01-24
29,38,Female,Batesfort,Consultant,Contract,300534,802,0.0,0,270669,2020-12-20
30,24,Male,Javierland,Designer,Salaried,1525664,660,0.5,5335,214042,2020-10-03
31,38,Male,New Charlesfurt,Designer,Freelance,1491789,306,0.2,19609,499921,2023-11-11
32,32,Male,Lake Casey,Product Manager,Salaried,1164102,675,0.44,18202,499921,2021-02-13
33,31,Female,Franciscofurt,Sales,Freelance,580146,850,0.42,491727,370288,2024-04-17
34,26,Non-binary,New Josemouth,Software Engineer,Salaried,707088,417,0.21,278499,499921,2020-10-03
35,33,Female,Port Amanda,Consultant,Contract,535720,850,0.38,0,412447,2024-07-23
36,40,Male,East Andreaton,Data Scientist,Salaried,588915,699,0.6,0,187463,2020-10-03
37,29,Non-binary,Ariasmouth,Product Manager,Salaried,1208417,812,0.48,0,393956,2023-07-12
38,39,Non-binary,Gregoryton,Data Scientist,Salaried,616368,762,0.6,19684,499921,2021-09-15
39,36,Female,North Kristinberg,Sales,Freelance,1152427,726,0.34,0,105814,2024-08-02
40,25,Male,Weavermouth,Sales,Freelance,1110946,850,0.0,0,68970,2021-10-26
41,35,Female,West Vanessa,Sales,Salaried,718256,842,0.4,517947,104058,2024-12-13
42,40,Non-binary,Martinbury,Sales,Salaried,822837,778,0.18,0,81708,2021-04-19
43,36,Female,Carpenterview,Sales,Freelance,1998831,850,0.57,577093,394390,2024-05-18
44,23,Female,North Shannonbury,Product Manager,Freelance,1998831,850,0.18,17512,324510,2020-12-24
45,40,Female,Jennifermouth,Designer,Freelance,1076799,850,0.38,0,289896,2020-10-12
46,36,Female,Pennymouth,Product Manager,Contract,616004,664,0.32,19543,439121,2024-10-17
47,27,Non-binary,New Michelle,Sales,Freelance,664255,443,0.32,444699,33653,2020-12-05
48,36,Male,Port Makayla,Consultant,Freelance,1736769,632,0.32,0,79436,2023-07-17
49,23,Male,Jacobsview,Consultant,Freelance,1623206,850,0.06,0,365155,2024-09-21
50,35,Non-binary,Lake Emily,Product Manager,Contract,1041481,588,0.04,905076,474997,2023-06-21
51,29,Non-binary,Donaldsonmouth,Software Engineer,Freelance,646764,850,0.48,0,32133,2022-05-02
52,31,Male,Isaacton,Designer,Contract,529119,683,0.54,4334,439329,2023-12-25
53,40,Female,East Timothyview,Software Engineer,Salaried,1998831,764,0.43,505634,258311,2021-08-13
54,39,Male,Collinstown,Data Scientist,Freelance,590065,850,0.5,663489,492997,2020-10-03
